id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
li-4405534384,linkedin,https://www.linkedin.com/jobs/view/4405534384,,Analista de Testes / QA Sênior (Operações),Omie,,,,,,,,,False,,,,,,,https://br.linkedin.com/company/omie,,,,,,,,,,,,
li-4407826332,linkedin,https://www.linkedin.com/jobs/view/4407826332,,Strong Junior QA Manual Engineer,NineTwoThree AI Studio,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/ninetwothree,,,,,,,,,,,,
li-4407597517,linkedin,https://www.linkedin.com/jobs/view/4407597517,,Product Quality Specialist,Yaqeen Institute,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/yaqeen-institute,,,,,,,,,,,,
li-4407820491,linkedin,https://www.linkedin.com/jobs/view/4407820491,,QA Analyst,Sundayy,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/sundayyglobal,,,,,,,,,,,,
li-4407833292,linkedin,https://www.linkedin.com/jobs/view/4407833292,,Unsolicited (spontaneous) application,LanguageWire,"Copenhagen, Capital Region of Denmark, Denmark",,,,,,,,False,,,,,,,https://dk.linkedin.com/company/languagewire,,,,,,,,,,,,
li-4406204773,linkedin,https://www.linkedin.com/jobs/view/4406204773,,Quality Assurance Specialist Corporate,Revelation Pharma,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/revelationpharma,,,,,,,,,,,,
li-4407429064,linkedin,https://www.linkedin.com/jobs/view/4407429064,,QA Engineer - Manual,OAK'S LAB,,,,,,,,,False,,,,,,,https://cz.linkedin.com/company/oakslab,,,,,,,,,,,,
li-4407406431,linkedin,https://www.linkedin.com/jobs/view/4407406431,,QA Analyst,Embrace Software Inc,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/embrace-software-inc,,,,,,,,,,,,
li-4407108479,linkedin,https://www.linkedin.com/jobs/view/4407108479,,Content QA Specialist,Ciklum,,,,,,,,,False,,,,,,,https://uk.linkedin.com/company/ciklum,,,,,,,,,,,,
li-4407494067,linkedin,https://www.linkedin.com/jobs/view/4407494067,,Senior QA Engineer,Angel,"Provo, UT",,,,,,,,False,,,,,,,https://www.linkedin.com/company/angel-studios-page,,,,,,,,,,,,
li-4407416938,linkedin,https://www.linkedin.com/jobs/view/4407416938,,QA Engineer - Manual,OAK'S LAB,,,,,,,,,False,,,,,,,https://cz.linkedin.com/company/oakslab,,,,,,,,,,,,
li-4407412985,linkedin,https://www.linkedin.com/jobs/view/4407412985,,QA Engineer - Manual,OAK'S LAB,,,,,,,,,False,,,,,,,https://cz.linkedin.com/company/oakslab,,,,,,,,,,,,
li-4407597628,linkedin,https://www.linkedin.com/jobs/view/4407597628,,Software Verification & QA Specialist,Codekeeper,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/codekeeper,,,,,,,,,,,,
li-4407417924,linkedin,https://www.linkedin.com/jobs/view/4407417924,,QA Engineer - Manual,OAK'S LAB,,,,,,,,,False,,,,,,,https://cz.linkedin.com/company/oakslab,,,,,,,,,,,,
li-4407843159,linkedin,https://www.linkedin.com/jobs/view/4407843159,,Software Quality Engineer,Helic & Co.,,,,,,,,,False,,,,,,,https://ca.linkedin.com/company/helicco,,,,,,,,,,,,
li-4406505214,linkedin,https://www.linkedin.com/jobs/view/4406505214,,Quality Assurance Tester,RemoteHunter,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/remotehunter,,,,,,,,,,,,
li-4398030010,linkedin,https://www.linkedin.com/jobs/view/4398030010,,Quality Assurance Leader (Eastern & Southern Europe),GE HealthCare,"Budapest, Budapest, Hungary",,,,,,,,False,,,,,,,https://www.linkedin.com/company/gehealthcare,,,,,,,,,,,,
li-4406294175,linkedin,https://www.linkedin.com/jobs/view/4406294175,,Senior Quality Assurance Engineer,Berkeley Payments,,,,,,,,,False,,,,,,,https://ca.linkedin.com/company/berkeley-payment-solutions,,,,,,,,,,,,
li-4406284606,linkedin,https://www.linkedin.com/jobs/view/4406284606,,Test- und Qualitätsmanager (m/w/d),Spot Solutions GmbH,"Mühltal, Hesse, Germany",,,,,,,,False,,,,,,,https://de.linkedin.com/company/spot-solutions-gmbh,,,,,,,,,,,,
li-4407436459,linkedin,https://www.linkedin.com/jobs/view/4407436459,,Senior QA Analyst (Remote),M3 USA,,,,,,,,,True,,,,,,,https://www.linkedin.com/company/so-net-m3,,,,,,,,,,,,
li-4407821244,linkedin,https://www.linkedin.com/jobs/view/4407821244,,Quality Assurance (QA) Engineer - OVO Drive,OVO,,,,,,,,,False,,,,,,,https://uk.linkedin.com/company/ovoenergy,,,,,,,,,,,,
li-4407413254,linkedin,https://www.linkedin.com/jobs/view/4407413254,,QA Lead [US Shift],Tuna Software Solutions Pvt Ltd,,,,,,,,,False,,,,,,,https://in.linkedin.com/company/tuna-software-solutions,,,,,,,,,,,,
li-4407543767,linkedin,https://www.linkedin.com/jobs/view/4407543767,,QA Engineer (Functional Testing),Koombea,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/koombea,,,,,,,,,,,,
li-4405121196,linkedin,https://www.linkedin.com/jobs/view/4405121196,,QA Engineer,xpate,,,,,,,,,False,,,,,,,https://uk.linkedin.com/company/xpate,,,,,,,,,,,,
li-4405992644,linkedin,https://www.linkedin.com/jobs/view/4405992644,,Quality Assurance Engineer - Remote Work,BairesDev,,,,,,,,,True,,,,,,,https://www.linkedin.com/company/bairesdev,,,,,,,,,,,,
li-4405119785,linkedin,https://www.linkedin.com/jobs/view/4405119785,,QA Engineer (AI-Driven Testing),Smart Consulting,,,,,,,,,False,,,,,,,https://pt.linkedin.com/company/thesmartwaytodoit,,,,,,,,,,,,
li-4405996631,linkedin,https://www.linkedin.com/jobs/view/4405996631,,Manual QA / R + D - Trabalho Remoto,BairesDev,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/bairesdev,,,,,,,,,,,,
li-4394431613,linkedin,https://www.linkedin.com/jobs/view/4394431613,,QA Engineer,DXC Technology,"Ho Chi Minh City, Vietnam",,,,,,,,False,,,,,,,https://www.linkedin.com/company/dxctechnology,,,,,,,,,,,,
li-4405997554,linkedin,https://www.linkedin.com/jobs/view/4405997554,,Quality Assurance Engineer,Fountain,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/fountaininc,,,,,,,,,,,,
li-4405114199,linkedin,https://www.linkedin.com/jobs/view/4405114199,,QA Engineer,Squash Apps,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/squash-apps,,,,,,,,,,,,
li-4405155952,linkedin,https://www.linkedin.com/jobs/view/4405155952,,QA Automation Engineer,Air Apps,"Dublin, County Dublin, Ireland",,,,,,,,False,,,,,,,https://www.linkedin.com/company/airapps,,,,,,,,,,,,
li-4407827071,linkedin,https://www.linkedin.com/jobs/view/4407827071,,Automation QA Engineer | Senior | Saily | Apps,Nord Security,"Wrocław, Dolnośląskie, Poland",,,,,,,,False,,,,,,,https://www.linkedin.com/company/nordsecurity,,,,,,,,,,,,
li-4406234588,linkedin,https://www.linkedin.com/jobs/view/4406234588,,Software QA Engineer L4,"Frontdoor, Inc.",,,,,,,,,False,,,,,,,https://www.linkedin.com/company/frontdoor-inc,,,,,,,,,,,,
li-4405105979,linkedin,https://www.linkedin.com/jobs/view/4405105979,,Quality Assurance Pharma,Amaris Consulting,,,,,,,,,False,,,,,,,https://ch.linkedin.com/company/amarisconsulting,,,,,,,,,,,,
li-4385685683,linkedin,https://www.linkedin.com/jobs/view/4385685683,,QA Automation Lead,Apryse,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/aprysesolutions,,,,,,,,,,,,
li-4230858050,linkedin,https://www.linkedin.com/jobs/view/4230858050,,QA Automation Engineer,TELUS Digital,,,,,,,,,False,,,,,,,https://ca.linkedin.com/company/telus-digital,,,,,,,,,,,,
li-4406202139,linkedin,https://www.linkedin.com/jobs/view/4406202139,,"Data Quality Associate, AI Labeling",eDataBae,,,,,,,,,False,,,,,,,https://in.linkedin.com/company/edatabae,,,,,,,,,,,,
li-4406523802,linkedin,https://www.linkedin.com/jobs/view/4406523802,,QC Coordinator (Europe/America based),Welocalize,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/welocalize,,,,,,,,,,,,
li-4406225292,linkedin,https://www.linkedin.com/jobs/view/4406225292,,"QA Tester | Quality Assurance | VR Gaming / Simulation | Remote options (Dallas is Ideal) | $60,000 - $80,000 USD + Benefits",White Bay,"Dallas, TX",,,,,,,,True,,,,,,,https://au.linkedin.com/company/whitebay,,,,,,,,,,,,
li-4405123656,linkedin,https://www.linkedin.com/jobs/view/4405123656,,Analista QA Automatizador,Claire Joster,,,,,,,,,False,,,,,,,https://es.linkedin.com/company/claire-joster,,,,,,,,,,,,
li-4407531765,linkedin,https://www.linkedin.com/jobs/view/4407531765,,QA Engineer (Functional Testing),Koombea,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/koombea,,,,,,,,,,,,
li-4407538809,linkedin,https://www.linkedin.com/jobs/view/4407538809,,QA Engineer (Functional Testing),Koombea,,,,,,,,,False,,,,,,,https://www.linkedin.com/company/koombea,,,,,,,,,,,,
li-4406210463,linkedin,https://www.linkedin.com/jobs/view/4406210463,,Platform QA Engineer (.NET apps),Paramo Technologies,,,,,,,,,False,,,,,,,https://ar.linkedin.com/company/paramo-technologies,,,,,,,,,,,,
li-4407464926,linkedin,https://www.linkedin.com/jobs/view/4407464926,,Senior Quality Assurance Engineer,LatAm Hire,,,,,,,,,False,,,,,,,https://ec.linkedin.com/company/wearelatamhire,,,,,,,,,,,,
